,Rank,Last Year's Rank,Average Annual pay per player,% change from last year's survey,Total Payroll,Rank of Total Payroll,Average player 5 year earnings,% change over last 5 years,Team,League
137,138,157,2090424,9.0,110792462,35,9324224.0,18.0,Cincinnati Bengals,NFL
138,139,116,2089848,-8.3,110761966,36,10864984.0,12.0,New York Giants,NFL
139,140,106,2083685,-12.8,110435293,37,11020516.0,0.0,San Francisco 49ers,NFL
140,141,175,2063147,32.7,51578685,151,,,Norwich,EPL
141,142,154,2056137,3.7,108975238,38,10415444.0,19.0,Houston Texans,NFL
142,143,176,2043495,32.6,108305221,39,9814688.0,27.0,Indianapolis Colts,NFL
143,144,74,2033000,-28.0,54891000,144,12128740.0,-18.0,Calgary Flames,NHL
144,145,119,2032390,-9.2,107716659,41,9632480.0,13.0,Tampa Bay Bucs,NFL
145,146,158,2029308,6.9,107553299,42,10378004.0,4.0,St Louis Rams,NFL
146,147,),2021930,,50548252,152,,,Reading,EPL
147,148,150,1987919,-1.1,105359681,43,10261524.0,0.0,San Diego Chargers,NFL
148,149,161,1946943,5.2,103187963,46,9308468.0,30.0,New England Patriots,NFL
149,150,109,1939243,-18.2,102779899,47,10763740.0,23.0,Detroit Lions,NFL
150,151,165,1939105,5.7,50416720,153,8546408.0,200.0,Fiorentina,Serie A
151,152,138,1932871,-8.5,102442174,49,10239164.0,30.0,Baltimore Ravens,NFL
152,153,174,1930169,22.8,48254220,155,,,Swansea,EPL
153,154,114,1928775,-16.1,102225091,50,10147280.0,20.0,Atlanta Falcons,NFL
154,155,),1893656,,47341388,158,,,Southampton,EPL
155,156,156,1875631,-3.4,99408451,55,11786164.0,-32.0,Dallas Cowboys,NFL
156,157,123,1850206,-16.2,48105357,156,10283156.0,-13.0,Florida Panthers,NHL
157,158,140,1842903,-11.6,97673836,57,10619232.0,-5.0,Washington Redskins,NFL
158,159,108,1810373,-23.8,95949754,58,10934508.0,-10.0,New York Jets,NFL
159,160,151,1801940,-10.2,95502828,59,9919884.0,-9.0,Buffalo Bills,NFL
160,161,),1787974,,44699360,161,,,Eintracht Frankfurt,Bundesliga
161,162,144,1784230,-13.5,94564171,60,10437700.0,-19.0,Cleveland Browns,NFL
162,163,146,1768309,-13.1,93720356,61,10345088.0,-7.0,Miami Dolphins,NFL
163,164,163,1760947,-4.3,44023672,162,,,Athletic Bilbao,La Liga
164,165,160,1755500,-6.2,43887500,163,7706712.0,26.0,New York Islanders,NHL
165,166,168,1754850,2.8,43871260,164,8810204.0,6.0,Wigan,EPL
